title,Sum of view_count,Sum of like_count,Sum of comment_count
馮允謙 Jay Fung - 給你幸福 所以幸福 You Are Mine For Life (Official Music Video),199303,4457,195
韓國金字塔頂端的生活有多奢華？😱韓國電商老闆好狂啊…｜愛莉莎莎Alisasa,192555,4910,353
韓國米其林主廚第一次見到台菜外燴的衝擊😲總鋪師辦桌料理初體驗👨‍🍳【咪蕾帶你去台灣－韓國米其林主廚篇Ep.3】,237127,9756,396
陳敏兒三度失摯愛勇敢面對 保持身心靈健康 尋找生命價值｜陳敏兒擺脫消沉 接納自己 熱愛生命｜明報娛樂新聞,228229,2625,124
阿婆化身為絕命毒師？！☠️後生仔與陌生大媽發生愛的碰撞🥴一人一個旅行之匪夷所思Part3,384483,9679,165
金鐘58／鍾欣凌金鐘主持金句不斷　神救援.幽默自嘲大獲好評,743902,5221,184
鄭文燦與女子進房影片曝光 民進黨千億大案破口出現了？ 新聞大白話@tvbstalk 20231024,329038,6078,1174
这家人唯一的共同点就是到点上桌吃饭！#人间真实 #搞笑段子 #青岛大姨张大霞 #散装家庭#shorts,292123,21161,74
踊りたいのに一緒に踊ってくれないから諦めてヲタ芸,7061808,554112,610
護娃狗：求奶奶不要燉娃~🙏🙏🙏#萌寵 #梁彬家的汪星人 #shorts #阿拉斯加 #回憶#阿拉斯加狗,3247584,76193,1264
肌寒い日に親友と家で食べる鍋は回らない鮨より最高,191153,3721,269
老师...这菠萝有点烫嘴#shorts,47561,1687,15
習簽主席令 李尚福.秦剛免職 賴岳謙曝走這流程出大事了 提到一人名郭正亮面露神秘微笑 帥化民:接任人選要符合三個條件,1124000,14838,1534
粛聖!! ロリ神レクイエム☆ / P丸様。（9さい）【歌ってみた】,993285,58953,2617
粗品が新居に来ました,286629,8299,780
突然覺得頭皮痛痛的⋯ #shorts #中壢髮型 #中壢美髮 #中壢剪髮 #中壢燙髮 #中壢染髮 #中壢接髮 #中壢護髮 #tiamhair #你的命定設計師Eagle,887923,21216,269
真夜中に感情があふれたけど親友が助けてくれた,492736,11360,1291
當嘟嘟拿到獎狀回家時，一切願望都滿足，妥妥的掌中寶！ #嘟嘟小可耐#萌娃日常#二胎生活#嘟嘟的卑微生活 #萌娃搞笑視頻 #二胎 #爸爸帶娃,2204418612,52122569,83232
男孩被埋进沙子，消防员展开紧急营救,511620,15858,38
派偉俊 Patrick Brasca '3am - Demo Ver.',79060,6938,889
步美居住的小区，每到晚上9点准时传来哭声😱😱😱#名侦探步美 #悬疑 #破案 #shorts,268839,13112,35
正面回應！志祺到底整了哪裡？以後還會再繼續改造嗎？《 今天不讀稿 》EP022｜志祺七七,927185,29992,1959
東海オンエアの今後について,5431312,234847,22199
木炭刷牙！越刷越白？离了个大谱！ #beauty #challenge #makeup #diy,379268,19130,96
最近の動画に出演していなかった件について。,464886,11678,1949
暖心的品牌方给大小杨哥砂锅里藏了一意外惊喜#疯狂小杨哥 #疯狂小杨哥,1043423,35464,372
映画『デジモンアドベンチャー02 THE BEGINNING』オープニング【和田光司/ターゲット〜赤い衝撃〜】,477496,19973,1364
所以碧萝想不想减肥？#做我的猫#搞笑#恋爱#fyp#抖音做我的猫#吴予#情侣,1247630,40515,191
我阿媽飛黎日本揾我😂 媽媽：「你唔好返香港！」河口湖附近半日遊🗻,258349,10929,605
愛猫家の皆さんに嬉しいお知らせがございます。,726535,0,552
必見！ ジャパンモビリティショー注目車両たちをメーカーごとに一挙解説。 これを観ればJMSはもう迷わない！  [ JMS2023 スズキ/スバル/ダイハツ/トヨタ/レクサス/日産/ホンダ/三菱 ],294463,2233,202
当强迫症被绑架：你不能只脱一只丝袜，得两只一起脱！#shorts#绑架#强迫症,689906,29118,84
当代年轻人上班的状态：打工半小时摸鱼一整天！#shorts#搞笑演绎,4362728,153421,1078
峻宁峻宁：这么简单的游戏，我又血赚500哈哈！#搞笑#搞笑视频,345788,14687,166
小時候追星回憶錄⭐追星追到大社死…！｜王心凌｜阿啾小劇場,225595,8396,1178
小孩哥在線上打臉，最後還是拉麵更勝一籌 #跑酷 #跑酷拉麵 #Parkour  #shorts #tiktok,1265351,49052,160
小姐姐不会过减速带，我来教你啊！#轮滑 #暴走鞋 #shorts #fyp #viral #skateboarding #skate,911547,28462,168
小夥被馬踹了一腳，意外穿越到女兒國，剛睜開眼就被一群絕色美女圍住，拐公主，睡女皇，不做選擇全都要！ 【全網最新大結局】#熱播短劇 #逆襲 #爽劇 #穿越,87013,679,47
子犬と初対面！新しい家族を内緒で連れ帰った時の娘と柴犬ちくわの反応がこちらです,182472,6310,701
姊姊鬧脾氣不吃飯，嘟嘟自己動手給姊姊燉排骨！ 姐妹情大過天！#嘟嘟小可耐#萌娃日常#二胎生活#嘟嘟的卑微生活 #萌娃搞笑視頻 #二胎 #爸爸帶娃#shorts,125277756,3424141,16032
妞妞和熊孩子玩遊戲輸了，竟然故意整蠱他！ #娛樂 #搞笑 #搞笑影片#熊孩子#shorts,190986,5516,18
在哈士奇面前模仿牠喘氣呼吸｜#寵物雲 #shorts,811363,32848,209
回春丹《鲜花》 情绪饱满催人泪下 | 乐队的夏天3 EP9纯享 | The Big Band S3 | iQIYI精选,110891,1956,116
各路大神前來挑戰七階，你們覺得誰最厲害呢？ #跑酷 #跑酷拉麵 #Parkour  #shorts #tiktok,352236,16223,150
台灣做飛彈全球前三! 揭密隱藏飛彈之島 武器自製率超越南韓  中科院年產數百枚飛彈! 再多褒揚令喚不回兒子 火神沒眼淚只剩心碎...｜李文儀主持｜【台灣新思路 完整版】20231023｜三立iNEWS,381127,4310,1223
只存50張月月領1萬 CP值最高存股法!【小宇宙大爆發】 ft.阮慕驊 秀秀子 #etf #選股 #高股息,62787,886,22
博恩 #走鐘獎 狂開噴 #Shorts,1164613,51423,687
南方和北方燒烤玉米的差異！ 小李這次真的長見識了，看他以後還亂點菜不！ #美食#短劇#段子,479924,24688,48
午休的差別(台灣住幾年?) #三原 #日本 #日本文化 #日本觀光 #日本旅遊 #文化差異 #職場 #日本職場 #台灣職場,486107,19740,563
北方的筒子骨也太大了吧！ 有沒有人吃過那麼大的筒子骨？ #美食#短劇#段子,625690,32179,312
别眨眼，快到看不清！中华台北小将打破男子轮滑速度过桩世界纪录，20个桩仅用时3.885秒！#asiangames #goldmedal  #champion,1895248,52335,1336
出差男子深夜回家，竟然... #狈总 #shorts,1503574,57282,518
公開時 急上昇ランク２位【NaokimanShow】ナオキマンが入手に１年かかった怖い話が超ヤバい話※考察はげしく求む!!!★★★『島田秀平のお怪談巡り』,345998,9212,534
傳說中斬妖除魔的十把大寶劍，日本出土一把五米長的蛇行劍，用法超越你的想像 | 老高與小茉 Mr & Mrs Gao,1118511,27818,1399
以色列 巴勒斯坦 到底有什麼仇? 猶太人、阿拉伯人的百年恩怨 哈瑪斯、巴勒斯坦是什麼關係?,2503462,59848,8306
今後の活動に関する大切なお知らせ,183752,14247,4700
中山優馬 - WEST. 重岡大毅・神山智洋・藤井流星・小瀧望に10.25 Release Blu-ray をお届け！,200421,0,547
中山優馬 - Hey! Sαy! JUMP 山田涼介・知念侑李に10.25 Release Blu-ray をお届け！,204310,0,812
一口氣看完！總裁假扮外賣小哥去相親，怎料慘遭相親對象羞辱，下秒亮出身份震驚所有人！【大夏神主】#短劇 #逆襲 #爽文,119617,630,35
한국이 천국같다는 일본인 남친 부모님께 서프라이즈🎂상견례(?) 허락받기 | 신기한 한국음식 먹어보기! vlog 광장시장체험/한옥마을/산낙지/육회/간장게장 먹방,151431,6475,811
"팔아도 될 정도로 맛있다고 난리나요! 알면 평생 써먹는 알타리김치 맛있게 담그는법, 절이기부터 양념까지 딱 이대로 해보세요. [총각김치 초롱무김치]",238961,1237,21
초밥 먹고 와서 자랑하는 닌닌,174642,5443,595
창의적인 DIY 전화 케이스 || 최고의 커버 아이디어 #SHORTS,19489566,546589,342
자동 머리 땋기 기계,181661088,3298099,8217
일본 마늘 라멘 탐방기 : 한국인을 위해 만든 듯한 특제 마늘 파우더 & 노른자 쌍란 토핑 (돼지 두개골 육수 촬영 성공),313930,5504,582
"이강인, PSG·UCL 데뷔골 터졌다!… PSG는 3대0 완승! #SPOTIME",918118,10348,1004
"이강인 X 음바페, 첫 호흡 맞춘 '깡패 듀오', 이 조합이 설레는 이유?/리그앙 9R 2023.10.22",792377,2841,563
음악의 신,1043821,36223,536
육성 선수로 키움 유니폼 입게 된 원성준│추석 연휴 4일 내내 진행된 그분과의 특별 훈련│합격 소식에 난리 난 '최강야구' 단톡방│정근우의 야구이슈다,348466,6823,662
유트루네 추석 썰. 명절은 재밌다 ㅋㅋ,95066,2622,136
우왁굳 고멤 0기를 기억하시나요?,323930,11888,1753
오은영 박사님 여기 좀 보세요!,733374,14909,1215
얼갈이배추 많이 사오셔서 이렇게 드셔보세요!! 겨울내내 따뜻한 반찬이 해결됩니다/얼갈이배추요리 a cabbage dish,386739,962,61
안녕하십니까 롯데자이언츠 감독 김태형입니다,170611,6206,1139
아이 사랑스러운 동생들...과 함께하는 버킷리스트타임^^,874950,15593,1226
수진 (SOOJIN) - BLACK FOREST,5410120,923933,107046
솔직한 후기,318051,12191,782
"성공한 탑모델 한혜진이 홍천에 별장 지은 이유?｜리틀포레스트, 만두 먹방, 불멍 ASMR, 별이 쏟아지는 밤",393454,8317,353
삭힌고추 '이렇게' 만들면 1년 내내 아삭아삭 최고입니다👍 이거 하나면 다른 반찬 필요없어요 !,170417,703,17
배 위에서 바로 썰어주는 막회 5kg 먹방! 너무 쫄깃쫄깃해!! [선상횟집] Seafood sashimi Mukbang on the Boat,289535,4355,247
바쁘다바빠 도파민 중독자의 일상 기록,511765,15432,946
바다가 없는 마케도니아에선 돈 있어도 못 먹는 대게를 장모님께 사드리자... 52년 만에 한국에서 대게를 처음 먹게 된 장모님 반응?! (부산 여행),513126,25104,679
미국 할머니가 한국 미용실에서 머리하다가 깜짝 놀란 5가지 이유,809523,41990,1917
메뉴 90개 넘는 김밥천국에서 배부를 때까지 먹방,255564,9027,786
딸 귀한 미국시댁에서 손녀를 처음 봤을 때 반응 | 미국일상 브이로그,334117,9390,189
"딱 1팀만 받는 비밀의 캠핑장, 저도 가봤습니다 /호수 앞 작은 무인도 /  나홀로 차박 캠핑 / 소고기 콩불과 프렌치토스트",124784,4498,242
'너 끝나고 남아' 10살에게 협박받은 세븐틴 | ODG,738042,75978,3151
김태형 감독 1일차,256268,6165,1188
고작 가위바위보 하나에 인생걸기 게임ㅋㅋㅋㅋ지면 인천~부산 자전거행,766069,12328,1110
🧳 احزم أمتعتك بذكاء قبل السفر، حيل مبتكرة لإعداد الحقائب بسهولة #shots,161381519,1569153,6500
🥺PLS Join Oscar In Protecting Furry Animals💕 #funnycat #funnymemes #trending,136095020,2643650,12170
🤯How to make a high platform and increase your height on your own || By SMOL Play #shorts  #diy,13370880,193716,96
🤭REACTION to Youtuber GNA & Cami | GiGi’s Hut Talk 🍕,92812,3852,212
🤑 Aquí viven los RICOS en GUAYAQUIL - ECUADOR 🇪🇨,218659,4294,675
🟥SOBREVIVÍ 100 DÍAS como SPEAKER-MAN en Minecraft HARDCORE! - Misaki Gamer,19222164,1020290,14482
🚽 ТУАЛЕТ ФАЙТ ОБНОВЛЕНИЕ ВЫШЛО! ДАФАК БУМ! СКИБИДИ ТУАЛЕТ ИГРА 🔥 Skibidi Toilet Toilet Fight,196080,6605,426
🚨Simione fica em choque após ser exposta e o pior vem a tona; Decisão de Fu causa revolta,110235,13461,1013
🚨COMO INVOCAR AL LEVIATAN EN BLOX FRUITS UPDATE 20!!🚨,575340,32592,1749
🚨 Végre itt van!!! 🚨 |🕷️Marvel's Spider-Man 2🕷️(PS5) #1,131614,2356,104
😼 #cat #cats,78729301,1396440,1351
😵 EL RÉCORD HISTÓRICO de MR BEAST (YouTube),245437,17409,97
😳 ¡Pasó de todo en 10 minutos!,5876926,356965,857
😱🤯Ich spiele die *NEUEN* EVO-BOGENSCHÜTZEN... (November Update) | Clash Royale Deutsch,133562,8678,386
😱EINKOMMEN LEAK💰@Rohatc  ​@massiv @Visca96Barca,61129,3669,227
😱¡ASÍ RECIBIÓ BRYAN SKABECHE LA NOTICIA DEL EMBARAZO DE LESSLIE POLINESIA! ¿EL PIENSA SER PAPÁ?,455710,7716,242
😱 SPEKTAKELSTUK met 7️⃣ GOALS en LATE BESLISSING! ⏱️ | Samenvatting FC Utrecht - Ajax,244905,3928,809
😰 EL QUE SE MUEVA PIERDE 🚨🚫 *castigos* 😱 Fenix Team,11611962,409836,9996
😭😂 CHELSEA VS ARSENAL #funny,136808,9287,124
😢Спидран по Новостям #shorts,11496159,1176660,23241
😂,196819,11054,107
🕊PINTAMOS UN MURAL DE CONEJO VIEJO❤️,666700,55602,2904
🔴Live สด! 𝗣𝗧𝗦𝟮𝟬𝟮𝟯 𝗣𝗵𝗮𝘀𝗲 𝟮 วันที่ 12 l ลุ้น 3 ทีมไทยไปชิงแชมป์โลก PGC2023,155021,783,11
🔴Colon y River empataron en un partidazo  con un contundente 2 a 2🔴,2085048,14980,0
🔴[LIVESTREAM] CHUNG KẾT THE NEW MENTOR 2023 - NGƯỜI MẪU TOÀN NĂNG | AI SẼ LÀ QUÁN QUÂN MÙA ĐẦU TIÊN?,2515144,23337,4068
🔴[LIVE] แชมป์กีฬา 7HD แชมเปียนคัพ 2023 รอบ 8 ทีมสุดท้าย สนาม 2 วันที่ 26 ต.ค. 2566 (ช่วงเช้า),227999,1929,49
🔴#Live: SIMBA SC ( 2 ) vs AL AHLY ( 2 ) -VITA ya WAKUBWA -DAKIKA 90 za MOTO -AFRICAN SUPER LEAGUE...,95429,258,4
🔴 Shakedown LIVE | WRC Central European Rally 2023,89697,2009,73
🔴 - TRAILER DE ARK ASCENDED... POR FIN!!,389792,21776,179
🔫Чем стреляет пушка из дорожного конуса?,172768,17374,815
🔥НОВОЕ ОБНОВЛЕНИЕ В ТУАЛЕТ ФАЙТ УЖЕ ВЫШЛО! НОВЫЕ СЕКРЕТНЫЕ ПРОМОКОДЫ В ТУАЛЕТ ФАЙТ! TOILET FIGHT!,288474,17377,1359
🔥 GOLAZO DE CRISTIANO RONALDO 🔥 | Al Nassr 2-1 Damac | Jornada 10 | #SPLenFOX 2023,9736776,53431,8246
"🔥 CROSSING AFTER CROSSING... SEARCH for an ABANDONED Homestead (The Kimberley, Western Australia) 👀",45100,1033,25
🔥 America வீட்ல என்ன நடக்குதுன்னு தெரியலையே ⁉️ 💢 #tamil #tamilshorts #shorts #trending #shortsfeed,5436889,353561,253
📱😭,11409381,449692,2667
"📢 Habla JAVIER MILEI, tras conocerse los resultados: ""Estamos frente a un logro histórico""",1341220,32154,19815
💥Ізраїль поставив ультиматум! РАХУНОК ПІШОВ НА ГОДИНИ! ШАРП: план операції уже затверджений,406266,11929,1777
"💥PodCar by Hamid ""JP"" Jean Pierre Kraemer so nah wie selten zu vor..!🎙️",163018,8229,324
💚무청시래기 냉장 냉동고 넣을 필요없이 1년을 푸르게 먹을 수 있어요! 시래기 삶거나 말리지 마세요/시래기 1년 보관법과 요리,817808,7898,233
👻 👻 👻 👻😀😳,166728,4548,121
👔  Ťažký týždeň: O skladaní vlády | Aktuality,148202,3959,185
👑 Presentación Américas Kings League Santander ⚽,12806396,548879,20556
🏀 Résumé NBA VF : WEMBY fait ses DÉBUTS contre Dallas !,152678,4254,173
"🎮 Minecraft, DE nem érhetek a ZÖLD színhez! 🟩🌟 #minecraft #pgtdani #fypシ",142124,6547,57
🎙️  LIVE 19:00 | Persconferentie Hedwiges Maduro & Benjamin Tahirović voor Brighton - Ajax,37980,701,89
🎙️ Thomas Tuchel erklärt was in der zweiten Halbzeit besser lief | Interview,78515,788,177
🎙️ Jamal Musiala ist begeistert von der Atmosphäre | Interview,128388,1630,326
🍜統一肉燥麵、台酒花雕雞麵？🇫🇷法國高中生一吃就著迷的台灣泡麵😍！French Highschoolers Try Taiwanese Noodles for the First Time!,1136609,43478,2296
🇲🇽NOS VAMOS A MÉXICO! POR FIN REGRESAMOS a NUESTRA SEGUNDA PATRIA! | @RusosReaccionan @mexirusos,175079,26031,3628
ຜູ້ສາວinter (ผู้สาวอินเตอร์) SOPHANA x F.HERO x P.A.P BEAT BAND x  TEMPLE-BOY [OFFICIAL MV],512280,21908,1355
ເຖິງສິບໍ່ໄດ້ແຕ່ງແຕ່ອ້າຍກະເບິ່ງແຍງເຈົ້າໄດ້ ເຕຊິນ ຂັນແກ້ວถิงบ่อได้แต่งแต่กะเบี่งแยงเจ้าได้เตชินขันแก้ว,107272,2469,222
อยากมีวาสนา ได้นั่งรถ แลมโบกินี่ พี่สไปร์ท SPD & พี่แพททิรค The one you know (ความรวยนี้!!),304132,11333,965
"หนังแอ็คชั่นสุดมันส์ - 14 Blades  (ดอนนี่ เยน,จ้าวเหว่ย) หนังใหม่ เต็มเรื่อง ดูหนังฟรี FullHD Movie",24753,747,33
สะใภ้ท้องมีแค่คนเดียว EP.1/13 #shorts #หนังสั้น #drama #shortfilm #pregnancy,1066926,34180,33
วิธีแอบเข้าสวนสนุกในห้าง 😱🎡🎢,4495999,199733,338
ลุ้นระทึก รถบรรทุกเณรบิณฑบาตไหลลงเขา | สำนักข่าววันนิวส์,3746404,67388,815
ร้านอาหารญี่ปุ่นหรือนรก! ลูกจ้างสาวถูกนายจ้างใช้มีดแล่ปลาฟัน เอาไฟเบิร์น l EP.1524 l 25 ต.ค.66,613945,11063,6502
ยื้อ - ปรีชา ปัดภัย : เซิ้ง|Music Ost. สัปเหร่อ Story จักรวาลไทบ้าน【Official MV】,20357418,277871,10327
ยื้อ - ปรีชา ปัดภัย : เซิ้ง|Music Ost. สัปเหร่อ Story จักรวาลไทบ้าน【Official Lyric】,2120997,30208,639
ยิวคือใคร เกี่ยวอะไรกับอิสราเอล | Point of View,238876,5713,542
ยัง บอยส์ 1-3 แมนเชสเตอร์ ซิตี้ | ไฮไลต์ ยูฟ่า แชมเปี้ยนส์ ลีก 23/24,573663,8815,356
มักเจ้าบักคัก - ลีโอ อธิป x โฟกัส จรัสพล [Cover Version],118768,0,1901
ภาพสีที่ถูกซ่อนไว้,1931039,221227,7141
ฟรีโตสถูกเลี้ยงโดยครอบครัวแวมไพร์ ผีดูดเลือด l Minecraft ครอบครัว,51370,1508,60
ผมสุ่ม 100 ผล Blox Fruits,265970,13600,471
ผมโดนคนหน้าเหมือนไล่ล่าเอาชีวิต!! (SPD คืนหลอน),7134305,111005,5103
ผจญภัยแคมป์ก๊าบๆ!! พิสูจน์สิ่งลีลับที่อยู่ใต้น้ำ!! l HI-END GHOST BUSTER EP.3,922157,26235,2726
ปุ่มสุ่มfoodpanda V.1 มาสุ่มกันใครจะดวงดี #thesnack #ปอนด์ #จีโน่ #challenge #ปุ่มสุ่ม #foodpanda,2088977,80091,122
ปริศนาอดีตชาติ คุณอาร์ต เชียงราย l TheShock13,159267,2925,232
ประเทศไหนจะมง FINAL MISS GRAND INTERNATIONAL 2023,188334,1055,52
บี้เดอะสกา VS เเจ็กเเปปโฮ,4081418,103231,74
น้ำคร่ำแตก! เกือบคลอด ที่ร้านหมูกระทะ  พีกกว่านั้น ของขวัญรับขวัญหลาน  : Khaosod TV,1384690,85897,479
นับถอยหลัง 31 ต.ค.พิพากษาคดีน้องชมพู่ | 25 ต.ค. 66 | ไทยรัฐนิวส์โชว์,359750,5452,1313
ตำนานทำร้ายแม่จนกลายร่างเป็นหมา ที่มาของเรื่องคือยังไงนะ ? #ครูไอซ์,2426145,100290,343
ซุ่มกดกาชาปองแหวนแต่งงานสุดแปลก 5 อัน,2155794,79151,265
จัดปาร์ตี้ 1 ล้าน บนตึกใบหยก ให้ ป๋อง กพล เลือกสาวมาเป็นสะใภ้ l [Nickynachat],102445,4624,615
จะไม่มีอิสราเอลอีกต่อไป : คนเคาะข่าว 24-10-66,453662,9488,2908
คุยแซ่บShow:“กวาง AB normal”เปิดใจที่แรกจุดระเบิดเลิก“น้ำหวาน”ไม่เคยอยู่กัน 2คน ช้ำแทบร่วงขายเรือนหอ,335209,3990,1294
คุยแซ่บShow : “ต้องเต” เผยหลังเจอ “น็อต” เคลียร์ดรามาแต่งตัว นำทีมนักแสดง “สัปเหร่อ” เตรียมแก้บน!,360239,6627,424
คนไม่เคยดูวันพีช! มาทายตัวละคร วันพีช!,99521,4895,26
คนโดนปาแน่ใจไหมว่าคนที่ปาคือคนนี้ 💦#thesnack #ปอนด์ #จีโน่ #กาย #เล่นกับเพื่อน #challenge,5565772,177381,316
ข้ามเวลา Ost.พรหมลิขิต | Violette Wautier | Official MV,197673,8107,322
กูไม่ใช่ผัวมึงเลย จะงอนอะไรนักหนา! | EP.144 เจ๊คิ้มกินรอบวง l ลิลลี่ & นนท์ @ร้าน The Rabbit's Grove,354723,5712,162
การบ่ตอบคือคำตอบที่ชัดเจน - เวียง นฤมล【MUSIC VIDEO】,292061,5442,332
